stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
106,46630,"Seneca St & Highland Ave",,42.829918,-78.759602,1,0
107,46640,"Seneca St & Highland Ave",,42.829778,-78.759330,1,0
108,46650,"Seneca St & Hillcrest Dr",,42.829798,-78.761281,1,0
109,46660,"Seneca St & Hillcrest Dr",,42.829597,-78.761492,1,0
110,46670,"Seneca St & Hilldale Ave",,42.829359,-78.764972,1,0
111,46680,"Seneca St & Hilldale Ave",,42.829488,-78.764422,1,0
112,46860,"Seneca St & Leamington Place",,42.862368,-78.819194,1,0
113,46700,"Seneca St & Hydraulic St",,42.875730,-78.847661,1,0
115,46720,"Seneca St & Indian Church Rd",,42.851528,-78.805351,1,0
118,46750,"Seneca St & Kamper St",,42.855019,-78.809251,1,0
120,46800,"Seneca St & Kingston Place",,42.854298,-78.808592,1,0
121,46830,"Seneca St & Klas Ave",,42.843899,-78.792432,1,0
123,46690,"Seneca St & Hydraulic St",,42.875530,-78.847581,1,0
124,47530,"Seneca St & Walter St",,42.871658,-78.837401,1,0
126,47460,"Seneca St & Thorndale Ave",,42.841808,-78.787381,1,0
128,47480,"Seneca St & Transit Rd",,42.827430,-78.697611,1,0
129,47490,"Seneca St & Unger Ave",,42.860828,-78.817071,1,0
131,47500,"Seneca St & Union Rd",,42.830288,-78.754143,1,0
133,47440,"Seneca St & South Ryan St",,42.856808,-78.811461,1,0
135,47430,"Seneca St & St Davids Dr",,42.829918,-78.757442,1,0
136,47590,"Seneca St & Yale St",,42.855688,-78.810241,1,0
137,47600,"Seneca St & Zittel St",,42.853939,-78.807922,1,0
138,47610,"244 Seneca Creek Rd",,42.851237,-78.746412,1,0
139,47620,"261 Seneca Creek Rd",,42.850988,-78.745091,1,0
140,47630,"450 Seneca Creek",,42.851150,-78.739154,1,0
141,47640,"481 Seneca Creek Rd",,42.850909,-78.737504,1,0
142,47650,"890 Seneca Creek",,42.850859,-78.720292,1,0
143,48823,"Sheridan Dr & Williamsvill Place Drway",,42.978389,-78.734013,1,0
144,47520,"Seneca St & Union Rd",,42.830137,-78.754081,1,0
